run_id,repo_slug,agent,variant,variant_label,step,status,reason,proxy_access_line_count,proxy_denied_count,blocked_egress_line_count,denied_or_blocked,main_event_type
20260507T093701Z__elvishew_xLog__3faa6b27,elvishew_xLog,codex,generated,Best-effort,andvari,passed,,174,0,0,False,none
20260507T093701Z__elvishew_xLog__3faa6b27,elvishew_xLog,codex,v2,Slightly degraded,andvari-v2,passed,,132,0,0,False,none
20260507T093701Z__elvishew_xLog__3faa6b27,elvishew_xLog,codex,v3,Moderately degraded,andvari-v3,passed,,174,0,0,False,none
20260507T093708Z__EsotericSoftware_reflectasm__e34c5e8b,EsotericSoftware_reflectasm,codex,generated,Best-effort,andvari,passed,,122,0,0,False,none
20260507T093708Z__EsotericSoftware_reflectasm__e34c5e8b,EsotericSoftware_reflectasm,codex,v2,Slightly degraded,andvari-v2,passed,,136,0,0,False,none
20260507T093708Z__EsotericSoftware_reflectasm__e34c5e8b,EsotericSoftware_reflectasm,codex,v3,Moderately degraded,andvari-v3,passed,,114,0,0,False,none
20260507T093714Z__evant_binding-collection-adapter__ac7972e1,evant_binding-collection-adapter,codex,generated,Best-effort,andvari,passed,,136,0,0,False,none
20260507T093714Z__evant_binding-collection-adapter__ac7972e1,evant_binding-collection-adapter,codex,v2,Slightly degraded,andvari-v2,passed,,108,0,0,False,none
20260507T093714Z__evant_binding-collection-adapter__ac7972e1,evant_binding-collection-adapter,codex,v3,Moderately degraded,andvari-v3,passed,,150,0,0,False,none
20260507T093719Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,gothinkster_spring-boot-realworld-example-app,codex,generated,Best-effort,andvari,passed,,272,0,0,False,none
20260507T093719Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,gothinkster_spring-boot-realworld-example-app,codex,v2,Slightly degraded,andvari-v2,passed,,238,0,0,False,none
20260507T093719Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,gothinkster_spring-boot-realworld-example-app,codex,v3,Moderately degraded,andvari-v3,passed,,172,0,0,False,none
20260507T093724Z__Grt1228_chatgpt-java__ae761b89,Grt1228_chatgpt-java,codex,generated,Best-effort,andvari,passed,,210,0,0,False,none
20260507T093724Z__Grt1228_chatgpt-java__ae761b89,Grt1228_chatgpt-java,codex,v2,Slightly degraded,andvari-v2,passed,,166,0,0,False,none
20260507T093724Z__Grt1228_chatgpt-java__ae761b89,Grt1228_chatgpt-java,codex,v3,Moderately degraded,andvari-v3,passed,,172,0,0,False,none
20260507T093731Z__j-easy_easy-rules__d4450831,j-easy_easy-rules,codex,generated,Best-effort,andvari,passed,,166,0,0,False,none
20260507T093731Z__j-easy_easy-rules__d4450831,j-easy_easy-rules,codex,v2,Slightly degraded,andvari-v2,passed,,160,0,0,False,none
20260507T093731Z__j-easy_easy-rules__d4450831,j-easy_easy-rules,codex,v3,Moderately degraded,andvari-v3,passed,,164,0,0,False,none
20260508T095107Z__jOOQ_jOOR__23e17cf3,jOOQ_jOOR,codex,generated,Best-effort,andvari,passed,,122,0,0,False,none
20260508T095107Z__jOOQ_jOOR__23e17cf3,jOOQ_jOOR,codex,v2,Slightly degraded,andvari-v2,passed,,200,0,0,False,none
20260508T095107Z__jOOQ_jOOR__23e17cf3,jOOQ_jOOR,codex,v3,Moderately degraded,andvari-v3,passed,,116,0,0,False,none
20260508T095113Z__LianjiaTech_retrofit-spring-boot-starter__24cb9eda,LianjiaTech_retrofit-spring-boot-starter,codex,generated,Best-effort,andvari,passed,,236,0,0,False,none
20260508T095113Z__LianjiaTech_retrofit-spring-boot-starter__24cb9eda,LianjiaTech_retrofit-spring-boot-starter,codex,v2,Slightly degraded,andvari-v2,passed,,200,0,0,False,none
20260508T095113Z__LianjiaTech_retrofit-spring-boot-starter__24cb9eda,LianjiaTech_retrofit-spring-boot-starter,codex,v3,Moderately degraded,andvari-v3,passed,,286,0,0,False,none
20260508T095119Z__linkedin_kafka-monitor__043db641,linkedin_kafka-monitor,codex,generated,Best-effort,andvari,passed,,248,0,0,False,none
20260508T095119Z__linkedin_kafka-monitor__043db641,linkedin_kafka-monitor,codex,v2,Slightly degraded,andvari-v2,passed,,182,0,0,False,none
20260508T095119Z__linkedin_kafka-monitor__043db641,linkedin_kafka-monitor,codex,v3,Moderately degraded,andvari-v3,passed,,140,0,0,False,none
20260508T095125Z__macrozheng_mall-tiny__a81ec474,macrozheng_mall-tiny,codex,generated,Best-effort,andvari,passed,,208,0,0,False,none
20260508T095125Z__macrozheng_mall-tiny__a81ec474,macrozheng_mall-tiny,codex,v2,Slightly degraded,andvari-v2,passed,,258,0,0,False,none
20260508T095125Z__macrozheng_mall-tiny__a81ec474,macrozheng_mall-tiny,codex,v3,Moderately degraded,andvari-v3,passed,,276,0,0,False,none
20260508T095131Z__Meituan-Dianping_walle__f78edcf1,Meituan-Dianping_walle,codex,generated,Best-effort,andvari,passed,,166,0,0,False,none
20260508T095131Z__Meituan-Dianping_walle__f78edcf1,Meituan-Dianping_walle,codex,v2,Slightly degraded,andvari-v2,passed,,120,0,0,False,none
20260508T095131Z__Meituan-Dianping_walle__f78edcf1,Meituan-Dianping_walle,codex,v3,Moderately degraded,andvari-v3,passed,,150,0,0,False,none
20260508T095136Z__Mojang_brigadier__b5419b18,Mojang_brigadier,codex,generated,Best-effort,andvari,passed,,172,0,0,False,none
20260508T095136Z__Mojang_brigadier__b5419b18,Mojang_brigadier,codex,v2,Slightly degraded,andvari-v2,passed,,160,0,0,False,none
20260508T095136Z__Mojang_brigadier__b5419b18,Mojang_brigadier,codex,v3,Moderately degraded,andvari-v3,passed,,202,0,0,False,none
20260508T095142Z__monkeyWie_proxyee__c2c5bb4c,monkeyWie_proxyee,codex,generated,Best-effort,andvari,passed,,210,0,0,False,none
20260508T095142Z__monkeyWie_proxyee__c2c5bb4c,monkeyWie_proxyee,codex,v2,Slightly degraded,andvari-v2,passed,,184,0,0,False,none
20260508T095142Z__monkeyWie_proxyee__c2c5bb4c,monkeyWie_proxyee,codex,v3,Moderately degraded,andvari-v3,passed,,158,0,0,False,none
20260508T095147Z__mouzt_mzt-biz-log__8d3a0271,mouzt_mzt-biz-log,codex,generated,Best-effort,andvari,passed,,194,0,0,False,none
20260508T095147Z__mouzt_mzt-biz-log__8d3a0271,mouzt_mzt-biz-log,codex,v2,Slightly degraded,andvari-v2,passed,,202,0,0,False,none
20260508T095147Z__mouzt_mzt-biz-log__8d3a0271,mouzt_mzt-biz-log,codex,v3,Moderately degraded,andvari-v3,passed,,202,0,0,False,none
20260508T095153Z__Netflix_concurrency-limits__e8df64d8,Netflix_concurrency-limits,codex,generated,Best-effort,andvari,passed,,202,0,0,False,none
20260508T095153Z__Netflix_concurrency-limits__e8df64d8,Netflix_concurrency-limits,codex,v2,Slightly degraded,andvari-v2,passed,,146,0,0,False,none
20260508T095153Z__Netflix_concurrency-limits__e8df64d8,Netflix_concurrency-limits,codex,v3,Moderately degraded,andvari-v3,passed,,188,0,0,False,none
20260508T095158Z__pwittchen_ReactiveNetwork__ddfde340,pwittchen_ReactiveNetwork,codex,generated,Best-effort,andvari,passed,,126,0,0,False,none
20260508T095158Z__pwittchen_ReactiveNetwork__ddfde340,pwittchen_ReactiveNetwork,codex,v2,Slightly degraded,andvari-v2,passed,,167,0,0,False,none
20260508T095158Z__pwittchen_ReactiveNetwork__ddfde340,pwittchen_ReactiveNetwork,codex,v3,Moderately degraded,andvari-v3,passed,,154,0,0,False,none
20260508T095204Z__RikkaApps_Shizuku-API__a27f6e41,RikkaApps_Shizuku-API,codex,generated,Best-effort,andvari,passed,,202,0,0,False,none
20260508T095204Z__RikkaApps_Shizuku-API__a27f6e41,RikkaApps_Shizuku-API,codex,v2,Slightly degraded,andvari-v2,passed,,186,0,0,False,none
20260508T095204Z__RikkaApps_Shizuku-API__a27f6e41,RikkaApps_Shizuku-API,codex,v3,Moderately degraded,andvari-v3,passed,,190,0,0,False,none
20260508T095210Z__TheoKanning_openai-java__26909660,TheoKanning_openai-java,codex,generated,Best-effort,andvari,passed,,140,0,0,False,none
20260508T095210Z__TheoKanning_openai-java__26909660,TheoKanning_openai-java,codex,v2,Slightly degraded,andvari-v2,passed,,210,0,0,False,none
20260508T095210Z__TheoKanning_openai-java__26909660,TheoKanning_openai-java,codex,v3,Moderately degraded,andvari-v3,passed,,234,0,0,False,none
20260508T095214Z__whwlsfb_JDumpSpider__24fe3186,whwlsfb_JDumpSpider,codex,generated,Best-effort,andvari,passed,,164,0,0,False,none
20260508T095214Z__whwlsfb_JDumpSpider__24fe3186,whwlsfb_JDumpSpider,codex,v2,Slightly degraded,andvari-v2,passed,,158,0,0,False,none
20260508T095214Z__whwlsfb_JDumpSpider__24fe3186,whwlsfb_JDumpSpider,codex,v3,Moderately degraded,andvari-v3,passed,,160,0,0,False,none
20260508T095219Z__YeautyYE_netty-websocket-spring-boot-starter__eb4d0a6b,YeautyYE_netty-websocket-spring-boot-starter,codex,generated,Best-effort,andvari,passed,,270,0,0,False,none
20260508T095219Z__YeautyYE_netty-websocket-spring-boot-starter__eb4d0a6b,YeautyYE_netty-websocket-spring-boot-starter,codex,v2,Slightly degraded,andvari-v2,passed,,156,0,0,False,none
20260508T095219Z__YeautyYE_netty-websocket-spring-boot-starter__eb4d0a6b,YeautyYE_netty-websocket-spring-boot-starter,codex,v3,Moderately degraded,andvari-v3,passed,,222,0,0,False,none
20260508T095225Z__JMCuixy_swagger2word__0da57120,JMCuixy_swagger2word,codex,generated,Best-effort,andvari,passed,,204,0,0,False,none
20260508T095225Z__JMCuixy_swagger2word__0da57120,JMCuixy_swagger2word,codex,v2,Slightly degraded,andvari-v2,passed,,168,0,0,False,none
20260508T095225Z__JMCuixy_swagger2word__0da57120,JMCuixy_swagger2word,codex,v3,Moderately degraded,andvari-v3,passed,,180,0,0,False,none
20260508T095230Z__eugene-khyst_postgresql-event-sourcing__90faafbb,eugene-khyst_postgresql-event-sourcing,codex,generated,Best-effort,andvari,passed,,336,0,0,False,none
20260508T095230Z__eugene-khyst_postgresql-event-sourcing__90faafbb,eugene-khyst_postgresql-event-sourcing,codex,v2,Slightly degraded,andvari-v2,passed,,308,0,0,False,none
20260508T095230Z__eugene-khyst_postgresql-event-sourcing__90faafbb,eugene-khyst_postgresql-event-sourcing,codex,v3,Moderately degraded,andvari-v3,passed,,238,0,0,False,none
20260508T095237Z__facebook_SoLoader__d3d721fb,facebook_SoLoader,codex,generated,Best-effort,andvari,passed,,154,0,0,False,none
20260508T095237Z__facebook_SoLoader__d3d721fb,facebook_SoLoader,codex,v2,Slightly degraded,andvari-v2,passed,,232,0,0,False,none
20260508T095237Z__facebook_SoLoader__d3d721fb,facebook_SoLoader,codex,v3,Moderately degraded,andvari-v3,passed,,158,0,0,False,none
20260508T095244Z__feiniaojin_graceful-response__cf1cd118,feiniaojin_graceful-response,codex,generated,Best-effort,andvari,passed,,300,0,0,False,none
20260508T095244Z__feiniaojin_graceful-response__cf1cd118,feiniaojin_graceful-response,codex,v2,Slightly degraded,andvari-v2,passed,,206,0,0,False,none
20260508T095244Z__feiniaojin_graceful-response__cf1cd118,feiniaojin_graceful-response,codex,v3,Moderately degraded,andvari-v3,passed,,254,0,0,False,none
20260508T095249Z__jenkinsci_jenkinsfile-runner__9be9c0fb,jenkinsci_jenkinsfile-runner,codex,generated,Best-effort,andvari,passed,,154,0,0,False,none
20260508T095249Z__jenkinsci_jenkinsfile-runner__9be9c0fb,jenkinsci_jenkinsfile-runner,codex,v2,Slightly degraded,andvari-v2,passed,,174,0,0,False,none
20260508T095249Z__jenkinsci_jenkinsfile-runner__9be9c0fb,jenkinsci_jenkinsfile-runner,codex,v3,Moderately degraded,andvari-v3,passed,,150,0,0,False,none
20260508T095255Z__mitre_HTTP-Proxy-Servlet__c799c5e1,mitre_HTTP-Proxy-Servlet,codex,generated,Best-effort,andvari,passed,,174,0,0,False,none
20260508T095255Z__mitre_HTTP-Proxy-Servlet__c799c5e1,mitre_HTTP-Proxy-Servlet,codex,v2,Slightly degraded,andvari-v2,passed,,196,0,0,False,none
20260508T095255Z__mitre_HTTP-Proxy-Servlet__c799c5e1,mitre_HTTP-Proxy-Servlet,codex,v3,Moderately degraded,andvari-v3,passed,,110,0,0,False,none
20260508T095300Z__stealthcopter_AndroidNetworkTools__a82af8a5,stealthcopter_AndroidNetworkTools,codex,generated,Best-effort,andvari,passed,,92,0,0,False,none
20260508T095300Z__stealthcopter_AndroidNetworkTools__a82af8a5,stealthcopter_AndroidNetworkTools,codex,v2,Slightly degraded,andvari-v2,passed,,156,1,0,True,proxy_denial
20260508T095300Z__stealthcopter_AndroidNetworkTools__a82af8a5,stealthcopter_AndroidNetworkTools,codex,v3,Moderately degraded,andvari-v3,passed,,134,0,7,True,firewall_block
