run_id,repo_slug,agent,variant,variant_label,step,status,reason,proxy_access_line_count,proxy_denied_count,blocked_egress_line_count,denied_or_blocked,main_event_type
20260511T105200Z__LianjiaTech_retrofit-spring-boot-starter__24cb9eda,LianjiaTech_retrofit-spring-boot-starter,claude,v3,Moderately degraded,andvari-v3,passed,,130,0,0,False,none
20260511T105205Z__linkedin_kafka-monitor__043db641,linkedin_kafka-monitor,claude,generated,Best-effort,andvari,passed,,58,0,0,False,none
20260511T105205Z__linkedin_kafka-monitor__043db641,linkedin_kafka-monitor,claude,v2,Slightly degraded,andvari-v2,passed,,86,0,0,False,none
20260511T105205Z__linkedin_kafka-monitor__043db641,linkedin_kafka-monitor,claude,v3,Moderately degraded,andvari-v3,passed,,72,0,0,False,none
20260511T105211Z__macrozheng_mall-tiny__a81ec474,macrozheng_mall-tiny,claude,generated,Best-effort,andvari,passed,,66,1,0,True,proxy_denial
20260511T105211Z__macrozheng_mall-tiny__a81ec474,macrozheng_mall-tiny,claude,v2,Slightly degraded,andvari-v2,passed,,38,0,0,False,none
20260511T105211Z__macrozheng_mall-tiny__a81ec474,macrozheng_mall-tiny,claude,v3,Moderately degraded,andvari-v3,passed,,48,0,0,False,none
20260511T105217Z__mbechler_marshalsec__243c5aa8,mbechler_marshalsec,claude,generated,Best-effort,andvari,passed,,64,0,0,False,none
20260511T105217Z__mbechler_marshalsec__243c5aa8,mbechler_marshalsec,claude,v2,Slightly degraded,andvari-v2,passed,,92,0,0,False,none
20260511T105217Z__mbechler_marshalsec__243c5aa8,mbechler_marshalsec,claude,v3,Moderately degraded,andvari-v3,passed,,66,0,0,False,none
20260513T080244Z__Meituan-Dianping_walle__f78edcf1,Meituan-Dianping_walle,claude,generated,Best-effort,andvari,passed,,56,0,0,False,none
20260513T080244Z__Meituan-Dianping_walle__f78edcf1,Meituan-Dianping_walle,claude,v2,Slightly degraded,andvari-v2,passed,,54,0,0,False,none
20260513T080244Z__Meituan-Dianping_walle__f78edcf1,Meituan-Dianping_walle,claude,v3,Moderately degraded,andvari-v3,passed,,52,0,0,False,none
20260513T080251Z__Mojang_brigadier__b5419b18,Mojang_brigadier,claude,generated,Best-effort,andvari,error,runner-timeout,52,1,0,True,proxy_denial
20260513T080251Z__Mojang_brigadier__b5419b18,Mojang_brigadier,claude,v2,Slightly degraded,andvari-v2,passed,,50,0,0,False,none
20260513T080251Z__Mojang_brigadier__b5419b18,Mojang_brigadier,claude,v3,Moderately degraded,andvari-v3,passed,,56,0,0,False,none
20260513T080257Z__monkeyWie_proxyee__c2c5bb4c,monkeyWie_proxyee,claude,generated,Best-effort,andvari,passed,,58,0,0,False,none
20260513T080257Z__monkeyWie_proxyee__c2c5bb4c,monkeyWie_proxyee,claude,v2,Slightly degraded,andvari-v2,passed,,60,0,0,False,none
20260513T080257Z__monkeyWie_proxyee__c2c5bb4c,monkeyWie_proxyee,claude,v3,Moderately degraded,andvari-v3,passed,,56,0,0,False,none
20260513T080303Z__mouzt_mzt-biz-log__8d3a0271,mouzt_mzt-biz-log,claude,generated,Best-effort,andvari,passed,,54,0,0,False,none
20260513T080303Z__mouzt_mzt-biz-log__8d3a0271,mouzt_mzt-biz-log,claude,v2,Slightly degraded,andvari-v2,passed,,64,0,0,False,none
20260513T080303Z__mouzt_mzt-biz-log__8d3a0271,mouzt_mzt-biz-log,claude,v3,Moderately degraded,andvari-v3,passed,,50,0,0,False,none
20260513T080309Z__Netflix_concurrency-limits__e8df64d8,Netflix_concurrency-limits,claude,generated,Best-effort,andvari,error,runner-timeout,82,2,0,True,proxy_denial
20260513T080309Z__Netflix_concurrency-limits__e8df64d8,Netflix_concurrency-limits,claude,v2,Slightly degraded,andvari-v2,passed,,68,0,0,False,none
20260513T080309Z__Netflix_concurrency-limits__e8df64d8,Netflix_concurrency-limits,claude,v3,Moderately degraded,andvari-v3,passed,,58,0,0,False,none
20260513T080314Z__pwittchen_ReactiveNetwork__ddfde340,pwittchen_ReactiveNetwork,claude,generated,Best-effort,andvari,passed,,58,0,0,False,none
20260513T080314Z__pwittchen_ReactiveNetwork__ddfde340,pwittchen_ReactiveNetwork,claude,v2,Slightly degraded,andvari-v2,passed,,46,0,0,False,none
20260513T080314Z__pwittchen_ReactiveNetwork__ddfde340,pwittchen_ReactiveNetwork,claude,v3,Moderately degraded,andvari-v3,passed,,72,0,0,False,none
20260513T080320Z__RikkaApps_Shizuku-API__a27f6e41,RikkaApps_Shizuku-API,claude,generated,Best-effort,andvari,passed,,58,0,0,False,none
20260513T080320Z__RikkaApps_Shizuku-API__a27f6e41,RikkaApps_Shizuku-API,claude,v2,Slightly degraded,andvari-v2,passed,,58,0,0,False,none
20260513T080320Z__RikkaApps_Shizuku-API__a27f6e41,RikkaApps_Shizuku-API,claude,v3,Moderately degraded,andvari-v3,passed,,24,0,0,False,none
20260513T080328Z__TheoKanning_openai-java__26909660,TheoKanning_openai-java,claude,generated,Best-effort,andvari,passed,,46,0,0,False,none
20260513T080328Z__TheoKanning_openai-java__26909660,TheoKanning_openai-java,claude,v2,Slightly degraded,andvari-v2,passed,,48,0,0,False,none
20260513T080328Z__TheoKanning_openai-java__26909660,TheoKanning_openai-java,claude,v3,Moderately degraded,andvari-v3,passed,,68,0,0,False,none
20260513T080335Z__ulisesbocchio_jasypt-spring-boot__2243cb80,ulisesbocchio_jasypt-spring-boot,claude,generated,Best-effort,andvari,passed,,58,0,0,False,none
20260513T080335Z__ulisesbocchio_jasypt-spring-boot__2243cb80,ulisesbocchio_jasypt-spring-boot,claude,v2,Slightly degraded,andvari-v2,passed,,60,0,0,False,none
20260513T080335Z__ulisesbocchio_jasypt-spring-boot__2243cb80,ulisesbocchio_jasypt-spring-boot,claude,v3,Moderately degraded,andvari-v3,passed,,90,0,0,False,none
20260513T080342Z__whwlsfb_JDumpSpider__24fe3186,whwlsfb_JDumpSpider,claude,generated,Best-effort,andvari,passed,,70,0,0,False,none
20260513T080342Z__whwlsfb_JDumpSpider__24fe3186,whwlsfb_JDumpSpider,claude,v2,Slightly degraded,andvari-v2,passed,,102,0,0,False,none
20260513T080342Z__whwlsfb_JDumpSpider__24fe3186,whwlsfb_JDumpSpider,claude,v3,Moderately degraded,andvari-v3,passed,,66,0,0,False,none
20260514T193759Z__xtuhcy_gecco__e1f32e1c,xtuhcy_gecco,claude,generated,Best-effort,andvari,passed,,74,0,0,False,none
20260514T193759Z__xtuhcy_gecco__e1f32e1c,xtuhcy_gecco,claude,v2,Slightly degraded,andvari-v2,passed,,70,0,0,False,none
20260514T193759Z__xtuhcy_gecco__e1f32e1c,xtuhcy_gecco,claude,v3,Moderately degraded,andvari-v3,passed,,56,0,0,False,none
20260514T193807Z__YeautyYE_netty-websocket-spring-boot-starter__eb4d0a6b,YeautyYE_netty-websocket-spring-boot-starter,claude,generated,Best-effort,andvari,passed,,40,0,0,False,none
20260514T193807Z__YeautyYE_netty-websocket-spring-boot-starter__eb4d0a6b,YeautyYE_netty-websocket-spring-boot-starter,claude,v2,Slightly degraded,andvari-v2,passed,,46,0,0,False,none
20260514T193807Z__YeautyYE_netty-websocket-spring-boot-starter__eb4d0a6b,YeautyYE_netty-websocket-spring-boot-starter,claude,v3,Moderately degraded,andvari-v3,passed,,42,0,0,False,none
20260515T132132Z__JMCuixy_swagger2word__0da57120,JMCuixy_swagger2word,claude,generated,Best-effort,andvari,passed,,68,0,0,False,none
20260515T132132Z__JMCuixy_swagger2word__0da57120,JMCuixy_swagger2word,claude,v2,Slightly degraded,andvari-v2,passed,,50,0,0,False,none
20260515T132132Z__JMCuixy_swagger2word__0da57120,JMCuixy_swagger2word,claude,v3,Moderately degraded,andvari-v3,passed,,48,0,0,False,none
20260515T132141Z__eugene-khyst_postgresql-event-sourcing__90faafbb,eugene-khyst_postgresql-event-sourcing,claude,generated,Best-effort,andvari,passed,,40,0,0,False,none
20260515T132141Z__eugene-khyst_postgresql-event-sourcing__90faafbb,eugene-khyst_postgresql-event-sourcing,claude,v2,Slightly degraded,andvari-v2,passed,,66,1,0,True,proxy_denial
20260515T132141Z__eugene-khyst_postgresql-event-sourcing__90faafbb,eugene-khyst_postgresql-event-sourcing,claude,v3,Moderately degraded,andvari-v3,passed,,46,0,0,False,none
20260515T132149Z__facebook_SoLoader__d3d721fb,facebook_SoLoader,claude,generated,Best-effort,andvari,passed,,60,0,0,False,none
20260515T132149Z__facebook_SoLoader__d3d721fb,facebook_SoLoader,claude,v2,Slightly degraded,andvari-v2,passed,,38,0,0,False,none
20260515T132149Z__facebook_SoLoader__d3d721fb,facebook_SoLoader,claude,v3,Moderately degraded,andvari-v3,passed,,44,0,0,False,none
20260515T132155Z__feiniaojin_graceful-response__cf1cd118,feiniaojin_graceful-response,claude,generated,Best-effort,andvari,passed,,58,0,0,False,none
20260515T132155Z__feiniaojin_graceful-response__cf1cd118,feiniaojin_graceful-response,claude,v2,Slightly degraded,andvari-v2,passed,,58,0,0,False,none
20260515T132155Z__feiniaojin_graceful-response__cf1cd118,feiniaojin_graceful-response,claude,v3,Moderately degraded,andvari-v3,passed,,66,0,0,False,none
20260515T132202Z__jenkinsci_jenkinsfile-runner__9be9c0fb,jenkinsci_jenkinsfile-runner,claude,generated,Best-effort,andvari,passed,,126,0,0,False,none
20260515T132202Z__jenkinsci_jenkinsfile-runner__9be9c0fb,jenkinsci_jenkinsfile-runner,claude,v2,Slightly degraded,andvari-v2,passed,,170,0,0,False,none
20260515T132202Z__jenkinsci_jenkinsfile-runner__9be9c0fb,jenkinsci_jenkinsfile-runner,claude,v3,Moderately degraded,andvari-v3,passed,,400,0,0,False,none
20260515T132208Z__mitre_HTTP-Proxy-Servlet__c799c5e1,mitre_HTTP-Proxy-Servlet,claude,generated,Best-effort,andvari,passed,,60,0,0,False,none
20260515T132208Z__mitre_HTTP-Proxy-Servlet__c799c5e1,mitre_HTTP-Proxy-Servlet,claude,v2,Slightly degraded,andvari-v2,passed,,48,0,0,False,none
20260515T132208Z__mitre_HTTP-Proxy-Servlet__c799c5e1,mitre_HTTP-Proxy-Servlet,claude,v3,Moderately degraded,andvari-v3,passed,,72,0,0,False,none
20260518T082419Z__stealthcopter_AndroidNetworkTools__a82af8a5,stealthcopter_AndroidNetworkTools,claude,generated,Best-effort,andvari,passed,,36,0,0,False,none
20260518T082419Z__stealthcopter_AndroidNetworkTools__a82af8a5,stealthcopter_AndroidNetworkTools,claude,v2,Slightly degraded,andvari-v2,passed,,38,0,0,False,none
20260518T082419Z__stealthcopter_AndroidNetworkTools__a82af8a5,stealthcopter_AndroidNetworkTools,claude,v3,Moderately degraded,andvari-v3,passed,,34,0,0,False,none
